,community_name,Aggravated Battery,Assault,Burglary,Criminal Damage,Criminal Trespass,Deceptive Practice,Domestic Battery,Narcotics,Other Offense,Retail Theft,Robbery,Simple Battery,Theft,Weapons Violation
0,ALBANY PARK,42.0,179.0,105.0,301.0,55.0,137.0,202.0,61.0,196.0,52.0,75.0,133.0,617.0,46.0
1,ARCHER HEIGHTS,9.0,66.0,47.0,97.0,18.0,46.0,72.0,16.0,69.0,69.0,11.0,49.0,211.0,20.0
2,ARMOUR SQUARE,19.0,75.0,25.0,106.0,24.0,83.0,66.0,18.0,61.0,33.0,71.0,103.0,315.0,18.0
3,ASHBURN,35.0,237.0,146.0,300.0,57.0,215.0,232.0,34.0,261.0,46.0,69.0,141.0,511.0,49.0
4,AUBURN GRESHAM,202.0,807.0,306.0,854.0,209.0,388.0,1108.0,403.0,902.0,168.0,261.0,422.0,1223.0,324.0
5,AUSTIN,439.0,1402.0,414.0,1489.0,322.0,711.0,2120.0,1243.0,1601.0,304.0,604.0,918.0,2680.0,438.0
6,AVALON PARK,30.0,129.0,57.0,130.0,35.0,82.0,136.0,75.0,184.0,12.0,28.0,87.0,248.0,62.0
7,AVONDALE,43.0,123.0,122.0,256.0,53.0,171.0,162.0,36.0,205.0,140.0,79.0,146.0,532.0,47.0
8,BELMONT CRAGIN,93.0,370.0,149.0,507.0,89.0,236.0,521.0,188.0,554.0,183.0,130.0,314.0,911.0,89.0
9,BEVERLY,5.0,59.0,80.0,102.0,34.0,141.0,54.0,12.0,100.0,10.0,15.0,46.0,256.0,8.0
10,BRIDGEPORT,37.0,133.0,94.0,228.0,32.0,131.0,123.0,41.0,136.0,22.0,18.0,77.0,339.0,29.0
11,BRIGHTON PARK,57.0,185.0,116.0,329.0,32.0,132.0,268.0,83.0,261.0,48.0,63.0,154.0,389.0,95.0
12,BURNSIDE,6.0,36.0,20.0,50.0,7.0,10.0,53.0,25.0,61.0,0.0,19.0,13.0,51.0,21.0
13,CALUMET HEIGHTS,24.0,124.0,41.0,154.0,30.0,107.0,164.0,83.0,186.0,24.0,40.0,73.0,320.0,56.0
